name,line
Young Dory,hi im dory suffer shortterm remembery loss
Jenny,yes
Charlie,thats exactly say
Jenny,okay okay well pretend kids hi dory
Charlie,ahoy wan na play hide seek
Young Dory,okay
Charlie,well hide count come find us
Young Dory,okay daddy
Charlie,daddy im nice fish wants friend okay
Young Dory,okay daddy
Jenny,im hiding
Charlie,count ten
Young Dory,one two three um four umm like sand sand squishy spots young fish gasps go play
Jenny,dory dory
Charlie,dory dory dory kelpcake undertow sweetie
Jenny,remember honey stay away undertow
Charlie,okay sweetheart rhyme learned see undertow say
Young Dory,lets go
Charlie,heck okay lets try see undertow say
Young Dory,theres undertow theres undertow theres undertow mumbles harmony second pauses dory turns forget
Jenny,sweetie okay
Charlie,biggy kelpcake
Young Dory,forget gasps sudden shock would ever forget
Charlie,oh kelpcake
Jenny,never forget dory know never forget us
Young Dory,hello hello
Wife Fish,hear
Stan,hear
Wife Fish,stan heard someone say hello
Stan,didnt hear anybody say hello
Wife Fish,dont know stan heard someone say hello
Stan,yeah theres lot fish anybody literally anybody couldve said hello
Young Dory,hello
Wife Fish,right
Stan,looking
Stan,oh
Wife Fish,hello
Young Dory,hello
Stan,ah hello
Wife Fish,oh goodness child hello hello
Stan,hi kid hello
Wife Fish,hi
Young Dory,hi im dory please help
Wife Fish,oh hi dory uh dory lost
Stan,wwhere parents
Young Dory,um cant remember
Stan,well look around uh fish parents
Young Dory,hi im dory please help
Stan,huh
Wife Fish,um honey uh said
Young Dory,im sorry suffer shortterm remembery loss
Wife Fish,oh awful
Stan,shortterm memory loss
Wife Fish,oh okay well wait one second okay sweetpie stan stan
Wife Fish,poor thing lost
Stan,dont know well mean eh
Wife Fish,well something cant remember thing
Stan,could come anywhere
Wife Fish,wow help today
Stan,im
Wife Fish,dory dory sweetie bout
Stan,shes gone
Wife Fish,dory dory
Stan,thats good dory dory
Wife Fish,dory
Young Dory,im dory lost family help
Young Dory,im dory suffer shortterm
Young Dory,keep swimming keep swimming keep swimming
Tween Dory,hi lost family help
Fish,see last
Tween Dory,well uh funny story uh forgot
Fish,aw sweetie wan na come swim us
Tween Dory,nicest offer ive gotten day think cant remember anyhoo thanks heh im looking someone ugh cant remember cant remember cant remember
Dory,hi im dory fish swim away something said kidding okay okay youre coming back looking something okay totally get date night fun
Fish,well hope find whatever youre looking
Dory,idea im sorry im sorry im sorry okay guess well hang another time dont stranger stranger huh
Marlin,white boat took son son help please
Dory,look ah
Marlin,ah
Dory,oh sorry okay
Marlin,hes gone hes gone hes gone
Dory,alright itll okay
Marlin,hes gone took away find boat
Dory,boat hey ive seen boat
Dory,uhhuh went way went way follow
Marlin,thank thank thank much
Dory,klaus klaus pinatas dripping snores hand ratchet wrench fix ow hey marlin phew hey guys owowowowowowow
Marlin,dory time get yet go back bed
Nemo,remember anemone stings
Dory,right yeah sorry back bed back bed hey marlin ow
Marlin,back bed thats simple
Dory,ah got
Marlin,back bed back bed
Dory,hey marlin
Marlin,thats ready start day
Dory,looking something
Marlin,nemo
Dory,right remember like yesterday even though dont even remember yesterday well
Marlin,anyway would say scariest moment trip four sharks
Nemo,wait thought three sharks
Marlin,defiantly four
Nemo,last time told three
Marlin,son one us traveled across entire ocean
Dory,nemo obviously cross ocean find ha know went first
Marlin,guess thats true isnt
Mr. Ray,well made almost missed field trip
